total_congestion,std_dev,beta,reward
40.0,10.024969,0.9,-49.022472
67.0,4.7631397,0.9,-71.28683
62.0,12.0519705,0.9,-72.84677
66.0,14.150971,0.9,-578.73584
63.0,0.4330127,0.9,-63.389713
82.0,1.5,0.9,-83.35
61.0,8.785642,0.9,-68.907074
64.0,3.0,0.9,-66.7
75.0,1.9202864,0.9,-76.72826
76.0,11.937336,0.9,-86.7436
74.0,17.528547,0.9,-589.7757
61.0,2.772634,0.9,-63.49537
105.0,3.5619516,0.9,-108.20576
78.0,4.1533117,0.9,-81.73798
91.0,7.3271756,0.9,-97.59446
93.0,3.112475,0.9,-95.80122
99.0,5.0682836,0.9,-103.561455
101.0,12.616953,0.9,-112.355255
91.0,1.299038,0.9,-92.169136
114.0,12.658989,0.9,-125.39309
84.0,6.4031243,0.9,-89.76281
102.0,7.0887237,0.9,-108.37985
88.0,2.4494898,0.9,-90.204544
110.0,6.98212,0.9,-116.283905
103.0,1.47902,0.9,-104.331116
101.0,9.807523,0.9,-109.82677
112.0,2.9154758,0.9,-114.62393
15.0,3.269174,0.9,-17.942257
13.0,2.772634,0.9,-15.495371
26.0,6.5,0.9,-31.85
22.0,2.291288,0.9,-24.062159
32.0,3.0,0.9,-34.7
35.0,3.344772,0.9,-38.010296
41.0,2.2776084,0.9,-43.049847
38.0,8.13941,0.9,-45.32547
44.0,11.090536,0.9,-53.981483
55.0,12.754901,0.9,-66.47941
68.0,17.0147,0.9,-583.31323
80.0,20.012497,0.9,-598.0112
89.0,22.25281,0.9,-609.0275
100.0,25.009998,0.9,-622.509
110.0,27.00463,0.9,-634.3042
123.0,30.260328,0.9,-650.2343
85.0,16.253845,0.9,-599.6285
79.0,19.253246,0.9,-596.32794
76.0,9.8234415,0.9,-84.841095
92.0,17.67767,0.9,-607.9099
86.0,10.012492,0.9,-95.011246
101.0,16.768646,0.9,-616.0918
126.0,30.51639,0.9,-653.4647
107.0,14.35923,0.9,-619.92334
100.0,7.17635,0.9,-106.45872
70.0,7.1589108,0.9,-76.443016
98.0,10.307764,0.9,-107.276985
126.0,6.0621777,0.9,-131.45596
69.0,11.166356,0.9,-79.04972
120.0,15.066519,0.9,-633.5599
139.0,30.76016,0.9,-666.68414
147.0,35.751747,0.9,-679.1766
160.0,37.027016,0.9,-693.32434
118.0,12.539936,0.9,-629.28595
118.0,16.77051,0.9,-633.09344
149.0,35.77272,0.9,-681.19543
170.0,43.482754,0.9,-709.13446
195.0,48.0488,0.9,-738.2439
178.0,35.51408,0.9,-709.96265
15.0,3.269174,0.9,-17.942257
17.0,0.8291562,0.9,-17.74624
23.0,4.43706,0.9,-26.993355
25.0,0.8291562,0.9,-25.74624
30.0,3.640055,0.9,-33.27605
30.0,5.0249376,0.9,-34.522446
39.0,3.49106,0.9,-42.141953
40.0,3.082207,0.9,-42.773987
43.0,4.322904,0.9,-46.890614
47.0,8.287792,0.9,-54.459015
44.0,1.8708287,0.9,-45.683746
51.0,3.7666297,0.9,-54.389965
56.0,13.019217,0.9,-67.71729
54.0,2.0615528,0.9,-55.855396
71.0,9.283722,0.9,-79.35535
54.0,0.8660254,0.9,-54.779423
70.0,4.387482,0.9,-73.94873
53.0,13.292385,0.9,-64.96315
78.0,3.0413814,0.9,-80.73724
72.0,4.84768,0.9,-76.362915
65.0,5.1173725,0.9,-69.60564
83.0,13.367404,0.9,-95.03066
80.0,2.1213202,0.9,-81.90919
86.0,9.069179,0.9,-94.16226
90.0,19.111515,0.9,-607.2004
75.0,6.8693156,0.9,-81.18238
94.0,16.101242,0.9,-608.4911
78.0,6.538348,0.9,-83.884514
115.0,2.1650636,0.9,-116.948555
111.0,7.292976,0.9,-117.563675
88.0,18.179659,0.9,-604.3617
91.0,21.2882,0.9,-610.15936
93.0,2.58602,0.9,-95.327415
123.0,10.377259,0.9,-132.33954
116.0,8.746428,0.9,-123.87179
143.0,17.654675,0.9,-658.8892
135.0,18.793283,0.9,-651.91394
137.0,21.82172,0.9,-656.6395
144.0,25.019993,0.9,-666.518
146.0,30.103987,0.9,-673.09357
9.0,2.2776084,0.9,-11.049848
10.0,2.0615528,0.9,-11.855397
20.0,3.6742346,0.9,-23.30681
23.0,0.8291562,0.9,-23.74624
27.0,4.0233693,0.9,-30.621033
26.0,4.2720017,0.9,-29.8448
34.0,7.1589108,0.9,-40.44302
43.0,10.802198,0.9,-52.721977
55.0,12.794042,0.9,-66.51463
27.0,2.772634,0.9,-29.49537
38.0,1.118034,0.9,-39.00623
54.0,0.8660254,0.9,-54.779423
42.0,10.5,0.9,-51.45
54.0,2.6925824,0.9,-56.423325
47.0,7.292976,0.9,-53.56368
45.0,11.255554,0.9,-55.129997
59.0,14.754236,0.9,-72.27881
72.0,18.013884,0.9,-588.2125
54.0,2.291288,0.9,-56.06216
57.0,6.8693156,0.9,-63.182384
72.0,7.4498324,0.9,-78.70485
84.0,9.721111,0.9,-92.749
65.0,2.8613808,0.9,-67.57524
95.0,5.584577,0.9,-100.02612
65.0,2.4874685,0.9,-67.23872
86.0,8.674676,0.9,-93.807205
74.0,18.553976,0.9,-590.6986
61.0,2.2776084,0.9,-63.049847
106.0,1.118034,0.9,-107.00623
85.0,6.1390147,0.9,-90.525116
84.0,6.041523,0.9,-89.43737
86.0,14.115594,0.9,-598.70404
66.0,1.6583124,0.9,-67.49248
99.0,10.42533,0.9,-108.3828
82.0,1.5,0.9,-83.35
114.0,11.280514,0.9,-124.152466
97.0,2.8613808,0.9,-99.57524
132.0,8.306623,0.9,-139.47597
107.0,21.323402,0.9,-626.19104
99.0,4.7631397,0.9,-103.28683
110.0,4.555217,0.9,-114.09969
131.0,17.020208,0.9,-646.3182
12.0,2.5495098,0.9,-14.294559
10.0,1.6583124,0.9,-11.492481
20.0,5.049752,0.9,-24.544777
21.0,1.0897248,0.9,-21.980753
27.0,5.3091903,0.9,-31.77827
33.0,8.257572,0.9,-40.431816
40.0,10.024969,0.9,-49.022472
28.0,2.1213202,0.9,-29.909187
51.0,10.779031,0.9,-60.701126
59.0,13.254716,0.9,-70.929245
18.0,1.6583124,0.9,-19.492481
51.0,10.280442,0.9,-60.252396
30.0,1.5,0.9,-31.35
71.0,13.863171,0.9,-583.47687
78.0,18.513508,0.9,-594.6622
85.0,20.27776,0.9,-603.25
36.0,3.2403703,0.9,-38.916332
70.0,4.2720017,0.9,-73.8448
